step,script,purpose,main_outputs
00,pipelines/00_inspect_inputs.py,Inspect downloaded raw input files and metadata columns.,Input inspection reports.
01,pipelines/01_build_matrisome_matrices.py,Build Matrisome-filtered expression matrices.,Processed sample × Matrisome gene matrices.
02,pipelines/02_run_ecm_specificity_controls.py,Compare Matrisome genes against matched random non-ECM baselines.,ECM specificity metrics and random baseline comparisons.
03,pipelines/03_run_category_benchmark.py,Benchmark Matrisome divisions and categories against matched random controls.,Matrisome category benchmark tables and plots.
04,pipelines/04_run_nmf_program_discovery.py,"Generate baseline PCA, UMAP, and NMF embeddings and initial ECM modules.","Latent embeddings, NMF gene weights, and module summaries."
05,pipelines/05_run_external_reproducibility.py,Evaluate cross-dataset reproducibility of ECM programs.,External reproducibility tables and heatmaps.
06,pipelines/06_run_matrisomedb_validation.py,Build MatrisomeDB protein-level matrices and initial validation outputs.,MatrisomeDB protein matrices and validation summaries.
07,pipelines/07_run_gtex_v11_validation.py,Build GTEx V11 sample-level Matrisome matrix and ECM program scores.,GTEx V11 ECM program scores and tissue summaries.
08,pipelines/08_run_gtex_classifier_benchmarks.py,Run donor-stratified tissue classification from ECM program scores.,"Classification metrics, predictions, and confusion matrices."
09,pipelines/09_run_tabula_sapiens_pseudobulk.py,Build Tabula Sapiens donor × organ × cell-type pseudobulk ECM scores.,Pseudobulk ECM program scores and cell-type summaries.
10,pipelines/10_run_rank_based_scoring.py,Run rank-based ECM program scoring robustness analysis.,Rank-vs-mean correlations and rank-based heatmaps.
11,pipelines/11_run_nmf_stability_analysis.py,"Evaluate NMF rank selection, component stability, and program recovery.",NMF rank stability metrics and recovery summaries.
12,pipelines/12_run_representation_controls.py,Compare curated ECM programs against PCA and random compact representations.,Representation-control classification benchmarks.
13,pipelines/13_run_matrisomedb_null_abundance_validation.py,Compare MatrisomeDB detection and NSAF abundance support against random Matrisome nulls.,"Protein detection nulls, abundance nulls, and RNA-protein correlations."
14,pipelines/14_build_reproducibility_package.py,"Build final reproducibility package, gene lists, manifests, and code/data statements.","Supplementary gene lists, manifests, reproducibility checklist."
